#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
H2AFX	DNMT3B	1856252	1851052	9606.ENSP00000364310	9606.ENSP00000328547	0	0	0	0	0.113	0.539	0.900	0	0.955
H2AFX	DNMT3A	1856252	1845601	9606.ENSP00000364310	9606.ENSP00000264709	0	0	0	0	0	0.539	0.900	0	0.951
DNMT1	EZH2	1853859	1850211	9606.ENSP00000352516	9606.ENSP00000320147	0	0	0	0	0.200	0.428	0.900	0	0.950
DNMT3B	EZH2	1851052	1850211	9606.ENSP00000328547	9606.ENSP00000320147	0	0	0	0	0.144	0.380	0.900	0	0.942
RBBP4	DNMT3B	1855919	1851052	9606.ENSP00000362592	9606.ENSP00000328547	0	0	0	0	0.053	0.429	0.900	0	0.941
RBBP7	DNMT3B	1857150	1851052	9606.ENSP00000369424	9606.ENSP00000328547	0	0	0	0	0.053	0.429	0.900	0	0.941
RBBP4	EZH2	1855919	1850211	9606.ENSP00000362592	9606.ENSP00000320147	0	0	0	0	0.073	0.416	0.900	0	0.941
HDAC2	DNMT3B	1861837	1851052	9606.ENSP00000430432	9606.ENSP00000328547	0	0	0	0	0.054	0.397	0.900	0	0.938
HDAC1	DNMT3B	1855935	1851052	9606.ENSP00000362649	9606.ENSP00000328547	0	0	0	0	0.054	0.398	0.900	0	0.938
DNMT3B	DNMT3L	1851052	1846134	9606.ENSP00000328547	9606.ENSP00000270172	0	0	0	0.883	0	0.407	0.900	0	0.938
DNMT3L	DNMT3A	1846134	1845601	9606.ENSP00000270172	9606.ENSP00000264709	0	0	0	0.882	0	0.407	0.900	0	0.938
DNMT3B	DNMT3A	1851052	1845601	9606.ENSP00000328547	9606.ENSP00000264709	0	0	0	0.948	0	0.407	0.900	0	0.938
DNMT1	SMARCA5	1853859	1846833	9606.ENSP00000352516	9606.ENSP00000283131	0	0	0	0	0.104	0.360	0.900	0	0.937
H2AFX	DNMT1	1856252	1853859	9606.ENSP00000364310	9606.ENSP00000352516	0	0	0	0	0.139	0.336	0.900	0	0.937
DNMT1	DNMT3B	1853859	1851052	9606.ENSP00000352516	9606.ENSP00000328547	0	0	0	0	0.102	0.360	0.900	0	0.937
EZH2	DNMT3A	1850211	1845601	9606.ENSP00000320147	9606.ENSP00000264709	0	0	0	0	0.052	0.380	0.900	0	0.936
DNMT1	DNMT3A	1853859	1845601	9606.ENSP00000352516	9606.ENSP00000264709	0	0	0	0	0.053	0.360	0.900	0	0.934
DNMT3B	SMARCA5	1851052	1846833	9606.ENSP00000328547	9606.ENSP00000283131	0	0	0	0	0.060	0.344	0.900	0	0.933
H2AFX	SMARCA5	1856252	1846833	9606.ENSP00000364310	9606.ENSP00000283131	0	0	0	0	0	0.294	0.900	0	0.926
H2AFX	EZH2	1856252	1850211	9606.ENSP00000364310	9606.ENSP00000320147	0	0	0	0	0.114	0.171	0.900	0	0.920
RBBP4	DNMT1	1855919	1853859	9606.ENSP00000362592	9606.ENSP00000352516	0	0	0	0	0.104	0.133	0.900	0	0.915
H2AFX	HDAC1	1856252	1855935	9606.ENSP00000364310	9606.ENSP00000362649	0	0	0	0	0.051	0.170	0.900	0	0.914
HDAC2	H2AFX	1861837	1856252	9606.ENSP00000430432	9606.ENSP00000364310	0	0	0	0	0.051	0.170	0.900	0	0.914
RBBP7	DNMT3A	1857150	1845601	9606.ENSP00000369424	9606.ENSP00000264709	0	0	0	0	0.053	0.146	0.900	0	0.912
RBBP4	DNMT3A	1855919	1845601	9606.ENSP00000362592	9606.ENSP00000264709	0	0	0	0	0.053	0.146	0.900	0	0.912
RBBP7	H2AFX	1857150	1856252	9606.ENSP00000369424	9606.ENSP00000364310	0	0	0	0	0.060	0.110	0.900	0	0.909
H2AFX	RBBP4	1856252	1855919	9606.ENSP00000364310	9606.ENSP00000362592	0	0	0	0	0.060	0.110	0.900	0	0.909
RBBP7	DNMT1	1857150	1853859	9606.ENSP00000369424	9606.ENSP00000352516	0	0	0	0	0.104	0	0.900	0	0.906
H2AFX	DNMT3L	1856252	1846134	9606.ENSP00000364310	9606.ENSP00000270172	0	0	0	0	0	0	0.900	0	0.900
